Sqft,Floor,TotalFloor,Bedroom,Living.Room,Bathroom,Price,Cluster
1956.9,6,7,4,2,2,77000,2
1779.0,2,7,4,2,2,57000,2
889.5,10,14,2,1,1,52000,1
996.24,11,14,3,2,2,44999,2
1067.4,4,7,3,2,1,32000,2
900.174,10,21,1,2,1,50000,1
1704.282,3,6,3,2,2,59888,2
1284.438,6,12,3,2,2,41000,2
1565.52,2,6,3,2,1,45000,2
1487.244,1,7,3,2,3,68000,2
572.838,14,14,1,1,1,43000,1
683.136,4,5,2,2,1,28000,1
4091.7,2,15,3,2,4,180000,0
1124.328,3,5,3,2,2,45000,2
1789.674,10,12,4,2,2,88000,0
1889.298,2,14,4,2,2,100000,2
2205.96,4,15,3,2,2,100000,0
1601.1,5,12,2,2,2,48000,2
1085.19,12,19,2,2,1,35000,1
1921.32,4,7,4,2,2,48000,2
1707.84,9,15,3,2,2,80000,0
2120.568,5,7,3,2,2,98000,2
2782.356,12,13,3,2,3,120000,0
914.406,2,4,2,2,1,37000,1
1850.16,16,18,4,2,3,82000,0
1889.298,2,14,4,2,2,100000,2
1245.3,2,5,3,2,2,35000,2
1494.36,2,7,2,2,2,49800,2
1487.244,6,7,4,2,2,33700,2
1690.05,7,14,3,2,2,40000,2
796.992,3,12,2,2,2,45000,2
3255.57,4,7,4,2,5,130000,0
1063.842,3,7,2,1,1,45000,1
1263.09,5,7,2,1,2,37000,1
1352.04,5,5,3,2,2,36000,2
1287.996,4,5,4,2,2,30000,2
1167.024,3,12,3,2,2,42000,2
1167.024,3,12,3,2,2,42000,2
1839.486,2,13,1,0,1,67000,1
796.992,3,12,2,2,1,45000,1
601.302,2,9,1,1,1,38000,1
2156.148,12,17,3,2,3,75000,0
2138.358,11,14,4,2,2,55000,0
1779.0,2,9,3,2,2,55000,2
1779.0,8,15,3,2,2,85000,0
1732.746,8,12,4,2,2,65000,2
526.584,13,17,2,1,1,29500,1
718.716,5,7,2,2,1,43000,1
1601.1,3,7,3,2,2,33500,2
1174.14,14,14,3,2,1,26000,1
1408.968,9,9,2,2,2,65999,2
1387.62,2,7,3,2,2,45000,2
604.86,3,12,1,1,1,23800,1
1380.504,6,13,3,2,2,49999,2
2134.8,2,13,1,2,2,58000,2
740.064,10,12,2,2,2,45000,2
1031.82,5,12,2,2,2,36000,2
1526.382,8,12,4,2,2,65000,2
1601.1,1,4,3,2,2,65000,2
1423.2,13,21,2,2,2,55000,0
384.264,2,9,1,1,1,35000,1
1996.038,5,12,3,2,2,75000,2
718.716,5,7,2,2,1,43000,1
1366.272,4,11,3,2,2,50000,2
1743.42,3,12,3,2,2,45000,2
1636.68,4,4,4,2,2,52000,2
1903.53,8,13,3,2,2,120000,0
668.904,5,6,2,1,1,28000,1
2430.114,12,25,4,2,2,110000,0
1298.67,7,7,2,2,1,57000,1
2138.358,11,14,4,2,2,55000,0
2963.814,2,25,4,2,2,95000,0
533.7,14,16,1,1,1,25000,1
2262.888,4,14,3,2,2,120000,0
590.628,8,9,1,2,1,45000,1
964.218,5,14,2,1,1,28000,1
796.992,3,12,2,2,2,45000,2
2408.766,6,13,4,2,3,80000,0
1700.724,13,21,2,2,2,55000,0
1672.26,3,7,3,2,2,75000,2
1469.454,6,7,2,2,2,75000,2
2067.198,4,14,4,2,2,100000,0
1754.094,3,7,3,2,2,75000,2
1757.652,4,16,4,2,2,55000,2
587.07,5,7,1,1,1,36000,1
1487.244,5,7,3,2,2,50000,2
1487.244,5,7,3,2,2,50000,2
789.876,7,9,1,1,1,42000,1
2006.712,3,7,4,2,2,68000,2
871.71,8,14,2,1,1,41999,1
1522.824,11,11,4,2,3,60000,0
3173.736,3,9,4,2,3,160000,0
1899.972,21,27,4,2,2,57000,0
2205.96,8,10,3,2,3,120000,0
1106.538,3,12,1,2,1,50000,1
2668.5,5,12,4,2,2,138888,0
882.384,10,14,1,1,1,48800,1
3255.57,4,7,4,2,5,120000,0
2138.358,6,7,3,2,2,43000,2
1579.752,4,15,3,1,2,99990,2
2768.124,8,19,3,2,2,60000,0
2081.43,10,17,2,2,2,68000,0
1700.724,13,21,2,2,2,55000,0
2134.8,6,7,3,2,2,43000,2
718.716,5,12,2,1,1,34800,1
754.296,5,7,2,1,1,80000,1
1387.62,2,7,3,2,2,45000,2
3558.0,1,5,2,2,2,63000,2
1515.708,2,7,2,2,2,49800,2
914.406,12,12,3,2,2,36000,2
711.6,8,14,1,1,1,36000,1
1487.244,2,6,2,2,2,48000,2
2138.358,6,7,3,2,2,43000,2
1127.886,4,5,3,2,2,26000,2
1135.002,2,7,3,2,1,37000,2
665.346,6,7,1,1,1,25000,1
925.08,2,4,2,2,1,36000,1
1209.72,3,4,3,2,2,38000,2
1337.808,8,19,3,2,2,60000,2
1366.272,4,11,4,2,2,49999,2
2052.966,6,7,4,2,2,77999,2
711.6,8,14,1,1,1,36000,1
533.7,7,12,1,1,1,17000,1
1138.56,4,5,3,2,2,26000,2
1458.78,4,12,3,2,2,36000,2
1245.3,5,7,2,2,2,37000,2
1814.58,6,14,4,2,2,90000,0
1515.708,4,7,2,2,2,88000,2
811.224,5,12,2,1,1,43500,1
359.358,12,12,1,1,1,26000,1
1882.182,6,7,3,2,2,55000,2
1419.642,6,12,4,2,2,50000,2
1394.736,12,12,2,2,1,45000,1
2063.64,3,6,4,2,3,88000,2
1661.586,10,12,1,1,1,50000,1
3504.63,13,14,2,2,2,250000,0
1871.508,8,9,3,2,2,88000,2
640.44,14,14,1,1,1,43000,1
2430.114,5,25,3,2,2,88000,0
1519.266,2,7,2,2,2,49800,2
761.412,8,13,1,1,1,26000,1
1903.53,8,13,2,2,2,120000,0
1163.466,3,7,3,2,2,45000,2
1779.0,4,4,4,2,2,51999,2
1579.752,10,12,4,1,1,65000,1
3145.272,2,25,4,2,2,98000,0
3148.83,2,25,4,2,2,98000,0
2700.522,15,21,5,2,4,100000,0
3664.74,9,13,5,1,2,206000,0
2134.8,2,6,3,2,2,68000,2
1700.724,13,21,2,2,2,55000,0
1380.504,6,13,3,2,2,49800,2
2052.966,5,7,4,2,2,77999,2
1871.508,11,12,4,2,2,49999,2
1430.316,2,7,4,2,2,44999,2
1579.752,4,15,3,1,2,99999,2
1672.26,4,15,3,2,2,58000,2
1270.206,3,14,2,2,1,42000,1
1245.3,3,12,1,2,1,35000,1
1458.78,4,6,2,1,2,65000,1
1707.84,1,5,2,2,2,37000,2
1515.708,2,7,2,2,2,48800,2
1408.968,3,4,4,2,2,39999,2
1476.57,6,6,3,2,2,49999,2
1700.724,13,21,2,2,2,55000,0
2590.224,7,7,4,3,3,77999,0
2408.766,4,14,4,2,2,74999,2
1779.0,10,10,3,2,2,90000,2
2099.22,4,8,3,2,2,63000,2
1206.162,7,7,2,2,1,59500,1
989.124,13,13,2,2,1,45000,1
3173.736,3,9,3,2,3,160000,0
2444.346,7,15,4,2,3,73000,0
722.274,11,13,2,1,1,36000,1
1707.84,3,14,3,2,2,65000,2
1444.548,6,7,2,2,1,53000,1
2892.654,19,21,5,3,4,170000,0
711.6,5,7,2,2,1,43000,1
1423.2,13,21,2,2,2,55000,0
1494.36,2,7,2,2,2,48800,2
2184.612,2,9,3,2,2,80000,2
601.302,2,9,1,1,1,35000,1
3558.0,1,7,3,2,2,160000,0
2102.778,6,12,3,2,2,70000,2
1138.56,3,4,3,2,2,40000,2
1579.752,3,12,5,1,1,56000,2
1135.002,7,12,3,2,1,40000,2
640.44,2,7,2,1,1,38000,1
